trip_id,kode_kendaraan,hari,waktu,latitude,longitude,kecepatan_kmh,jarak_km
1,K-04,Senin,2025-03-03 04:48:00,-6.120401,106.184492,15.0,0.3277
1,K-04,Senin,2025-03-03 04:48:30,-6.120006,106.18302,34.0,0.3277
1,K-04,Senin,2025-03-03 04:49:01,-6.119611,106.181548,38.1,0.3277
1,K-04,Senin,2025-03-03 04:49:31,-6.11819,106.181962,33.4,0.3277
1,K-04,Senin,2025-03-03 04:50:02,-6.116769,106.182376,35.6,0.3277
1,K-04,Senin,2025-03-03 04:50:33,-6.11523,106.183165,39.1,0.3277
1,K-04,Senin,2025-03-03 04:51:03,-6.113691,106.183954,33.3,0.3277
1,K-04,Senin,2025-03-03 04:51:34,-6.112462,106.182965,35.4,0.3277
1,K-04,Senin,2025-03-03 04:52:05,-6.111233,106.181977,40.8,0.3277
1,K-04,Senin,2025-03-03 04:52:35,-6.107071,106.178041,39.5,0.3277
1,K-04,Senin,2025-03-03 04:53:06,-6.10291,106.174104,35.6,0.3277
1,K-04,Senin,2025-03-03 04:53:36,-6.101555,106.172775,40.1,0.3277
1,K-04,Senin,2025-03-03 04:54:07,-6.100201,106.171446,42.7,0.3277
1,K-04,Senin,2025-03-03 04:54:38,-6.099287,106.170243,33.1,0.3277
1,K-04,Senin,2025-03-03 04:55:08,-6.098373,106.169039,42.7,0.3277
1,K-04,Senin,2025-03-03 04:55:39,-6.097544,106.167923,41.4,0.3277
1,K-04,Senin,2025-03-03 04:56:10,-6.096714,106.166806,37.1,0.3277
1,K-04,Senin,2025-03-03 04:56:40,-6.095384,106.164179,34.9,0.3277
1,K-04,Senin,2025-03-03 04:57:11,-6.094054,106.161552,44.5,0.3277
1,K-04,Senin,2025-03-03 04:57:41,-6.090362,106.150789,37.0,0.3277
1,K-04,Senin,2025-03-03 04:58:12,-6.086671,106.140026,34.1,0.3277
1,K-04,Senin,2025-03-03 04:58:43,-6.086009,106.138655,34.2,0.3277
1,K-04,Senin,2025-03-03 04:59:13,-6.085348,106.137283,43.2,0.3277
1,K-04,Senin,2025-03-03 04:59:44,-6.084086,106.135965,40.2,0.3277
1,K-04,Senin,2025-03-03 05:00:15,-6.082823,106.134648,42.7,0.3277
1,K-04,Senin,2025-03-03 05:00:45,-6.071108,106.128433,41.8,0.3277
1,K-04,Senin,2025-03-03 05:01:16,-6.059393,106.122219,39.4,0.3277
1,K-04,Senin,2025-03-03 05:01:46,-6.055872,106.120039,44.7,0.3277
1,K-04,Senin,2025-03-03 05:02:17,-6.052352,106.11786,37.5,0.3277
1,K-04,Senin,2025-03-03 05:02:48,-6.050965,106.116649,39.6,0.3277
1,K-04,Senin,2025-03-03 05:03:18,-6.049578,106.115439,43.0,0.3277
1,K-04,Senin,2025-03-03 05:03:49,-6.046235,106.111776,40.4,0.3277
1,K-04,Senin,2025-03-03 05:04:20,-6.042891,106.108113,43.3,0.3277
1,K-04,Senin,2025-03-03 05:04:50,-6.041576,106.106827,39.9,0.3277
1,K-04,Senin,2025-03-03 05:05:21,-6.04026,106.10554,41.5,0.3277
1,K-04,Senin,2025-03-03 05:05:51,-6.037822,106.10378,33.5,0.3277
1,K-04,Senin,2025-03-03 05:06:22,-6.035384,106.102019,35.7,0.3277
1,K-04,Senin,2025-03-03 05:06:53,-6.031515,106.099596,36.5,0.3277
1,K-04,Senin,2025-03-03 05:07:23,-6.027647,106.097174,34.0,0.3277
1,K-04,Senin,2025-03-03 05:07:54,-6.025531,106.095443,35.8,0.3277
1,K-04,Senin,2025-03-03 05:08:25,-6.023414,106.093712,34.2,0.3277
1,K-04,Senin,2025-03-03 05:08:55,-6.022845,106.092225,36.3,0.3277
1,K-04,Senin,2025-03-03 05:09:26,-6.022276,106.090738,40.6,0.3277
1,K-04,Senin,2025-03-03 05:09:57,-6.02324,106.089192,37.4,0.3277
1,K-04,Senin,2025-03-03 05:10:27,-6.024204,106.087646,37.4,0.3277
1,K-04,Senin,2025-03-03 05:10:58,-6.02497,106.086703,35.5,0.3277
1,K-04,Senin,2025-03-03 05:11:28,-6.025735,106.085761,36.2,0.3277
1,K-04,Senin,2025-03-03 05:11:59,-6.028745,106.085247,44.2,0.3277
1,K-04,Senin,2025-03-03 05:12:30,-6.031754,106.084733,40.8,0.3277
1,K-04,Senin,2025-03-03 05:13:00,-6.032953,106.083847,40.3,0.3277
1,K-04,Senin,2025-03-03 05:13:31,-6.034152,106.082962,35.1,0.3277
1,K-04,Senin,2025-03-03 05:14:02,-6.033387,106.081626,41.7,0.3277
1,K-04,Senin,2025-03-03 05:14:32,-6.032623,106.080289,35.0,0.3277
1,K-04,Senin,2025-03-03 05:15:03,-6.031683,106.079026,37.6,0.3277
1,K-04,Senin,2025-03-03 05:15:33,-6.030743,106.077762,44.9,0.3277
1,K-04,Senin,2025-03-03 05:16:04,-6.027209,106.072342,40.7,0.3277
1,K-04,Senin,2025-03-03 05:16:35,-6.023674,106.066922,39.7,0.3277
1,K-04,Senin,2025-03-03 05:17:05,-6.022251,106.064022,41.2,0.3277
1,K-04,Senin,2025-03-03 05:17:36,-6.020827,106.061123,43.1,0.3277
1,K-04,Senin,2025-03-03 05:18:07,-6.018808,106.056438,42.3,0.3277
1,K-04,Senin,2025-03-03 05:18:37,-6.016789,106.051754,35.7,0.3277
